id,text,offensive_substrings,offensive_sequences
32362,"SUNTETI NISTE ISTERICI DE FIECARE DATA CAND CASTICA STEAUA NUMAI BLAT STITI SI FACETI SPAM
 
 PANARAMELORR !","['ISTERICI', 'PANARAMELORR']","[(14, 22), (96, 108)]"
33407,aici are dreptate nasu sandel scoteti`l pe becali din fotbal vreo 2 3 ani depunctati steaua cu 9 puncte fara masura de retrogradare aia sa o faca marin iancu cu masa futul in inima de puscarias sa trezit el de colo kre sa plimbat prin penitenciare ce treaba au jucatorii sa fie trimisi in b si plus de asta daca dadea bani sa nu se joace corect trebuia retrogradata daca dadea bani la un arbitru chestii de astea atunci eram deacord sa fim trimisi in b si cum nu sa intamplat asta nu ar fi corect,['futul in inima de puscarias'],"[(166, 193)]"
35265,"Deaspre 1,5 mil dati de CFR lui Dinamo a spus numai un habdicapat platit de becali.Evisent ca sursa era becali.Cred ca nu mai este nimic de comentat",['un habdicapat'],"[(52, 65)]"
19018,"Bai FC scuipa-n mata, cine a aruncat cu bricheta? stelistii sau tiganii de sub grant? tu-va-n gat de milogi. I-ati pupa i talpile lui M.Sandu, doar sa se rejoace meciul. Conduceati si voi o data pe Steaua si acu va ofticati.","['scuipa-n mata', 'tiganii', 'tu-va-n gat de milogi']","[(7, 20), (64, 71), (86, 107)]"
25659,mortii matii penescule cu rasa ta de analfabet si cu mata care te.a facut de cretin.protovaneeee nu iti cer sa citesti ce scrie lumea pe aici ca esti bou si nu ai trei clase primare...mortii mati sa dea dracu sa nu intre argesul ca iti dau foc la magazin ...familia matii de bou...cretinoidule argesul joaca mai bine decat dinamo si rapidul la un loc si tu il dai afara pe badea? ma analfabetule cine esti tu ma sa faci echipa cretinule ca nu ai dat bani sa faci vestiare la stadion,"['mortii matii', 'rasa ta de analfabet si cu mata care te.a facut de cretin.protovaneeee', 'esti bou si nu ai trei clase primare...mortii mati', 'sa dea dracu', 'iti dau foc la magazin ...familia matii de bou...cretinoidule', 'analfabetule', 'cretinule']","[(0, 12), (26, 96), (145, 195), (196, 208), (232, 293), (383, 395), (427, 436)]"
24855,puteti sa va dati foc pt trasmisia voastra... raaaaataaaaaaaatiiiiiilooooorrr,"['raaaaataaaaaaaatiiiiiilooooorrr', 'puteti sa va dati foc']","[(0, 21), (46, 77)]"
20486,"Sa-mi bag pula-n gura lui Beeeecalii asta !
 La puscarie cu prostu asta !","['Sa-mi bag pula-n gura lui', 'La puscarie cu prostu asta']","[(0, 25), (46, 72)]"
43395,au scapat ieftin...putea sa fie 2-0 :)) la kkt cu rapid sa se multumeasca daca prinde cupa uefa pt ca vorba aia...liga campioniilor interzisa cioriilor :X:X:X,"['la kkt cu rapid', 'cioriilor']","[(40, 55), (142, 151)]"
11614,pai tiganu' borat nu putea sa tina decat cu tiganii...,"[""tiganu' borat"", 'tiganii']","[(4, 17), (44, 51)]"
12791,ba sclav infect taci in mormantul mumei tale din gura. Circarul dracu il lingi in dos pe jiji si ai ajuns mare om.,"['sclav infect taci in mormantul mumei tale din gura', 'Circarul dracu', 'il lingi in dos pe jiji']","[(3, 53), (55, 69), (70, 93)]"
20323,unde a fost STEAUA in ultimii 3 ani???...semifinala UEFA si grupele UCL....asa k STEAUA e STEAUA...M**E LA TOTI UNGURII SI TZIGANII!!! RESPECT 4EVER MARESALU ANTONESCU!,['M**E LA TOTI UNGURII SI TZIGANII'],"[(99, 131)]"
20266,"ideea e ca-mi bag p*la in steaua si jiji si toti poponarii de suporteri care se bucura defapt de infrangerea lor. nu aveti caracter! v-am batut pe teren,apoi fugiti ca niste muieri,daca ati fi barbati ati cere sa rejucati,sa invingeti pe teren! rapidul a invin o echipa de femei","['ca-mi bag p*la in steaua si jiji si toti poponarii de suporteri', 'nu aveti caracter', 'fugiti ca niste muieri', 'echipa de femei']","[(8, 71), (114, 131), (158, 180), (263, 278)]"
38259,futu-i dumnezeii mamii ei de minge......ca si prostul satului vedea ca a iesit afara.....biserica mamii lui de becali cu tot cu sforile lui...si lasati-l in pula mea in pace pe rednic ca echipa a jucat bine...futuva-s in gura de muisti....fortza rapidddddd,"['futu-i dumnezeii mamii ei de minge', 'si prostul satului vedea', 'biserica mamii lui', 'lasati-l in pula mea in pac', 'futuva-s in gura de muisti']","[(0, 34), (43, 67), (89, 107), (145, 172), (209, 235)]"
23326,"daca actiunea se petrecea in careul Ceahlaului, 99% ar fi fost gol valabil. Sa fim seriosi, CFR inca beneficiaza de avantajul creat prin ""greselile"" arbitrilor, pana la sfarsitul campionatului o vad pe locul 4. MU*E LA BOZGORI, MU*E LA BOZGORI MUEEEEEE la BOZGORI SA DAM MU*E LA BOZGORI","['MU*E LA BOZGORI, MU*E LA BOZGORI MUEEEEEE la BOZGORI SA DAM MU*E LA BOZGORI']","[(211, 286)]"
44629,bah deci nu mai suport presa asta retardata numai scandalagii!!! bah duceti-va in mahalalele voastre si lasa-ti pe altii sa vorbeasca despre fotbal ca voi numai pt scandaluri create de voi traiti,"['presa asta retardata numai scandalagii', 'duceti-va in mahalalele voastre']","[(23, 61), (69, 100)]"
11486,"ba stelistii pulii mele,sunteti atat de prostii si nici macar nu realizati,dc i faceti p rapidisti tigani,si alte jigniri din astea.nu va dati seama si voi dak te duci la un aurolac si il intrebi cu ce echipa tine,100% iti spune steaua,te duci in mare tiganie si i intrebi p toti cu ce echipa tin,steaua... deci sugeti pula tuturor rapidistilor,noi avem fanii adevarati,la bine si la rau,nu ca voi distrusiilor","['stelistii pulii mele,sunteti atat de prostii si nici macar nu realizati', 'tigani', 'aurolac', 'te duci in mare tiganie', 'sugeti pula', ' distrusiilor']","[(3, 74), (99, 105), (174, 181), (236, 259), (312, 323), (397, 410)]"
21734,Se pisa cei de la Pro tv pe orice televiziune de aici ...(ca mod de a televiza un meci)!,['Se pisa cei de la Pro tv pe orice televiziune'],"[(0, 45)]"
11261,"@sorin_IASI : sa-i dau mui3 lui tarfa de ma - ta si la toata familia ta. kakatul dreq. muie sa-i dai lui ma-ta, ai inteles? papagal ce esti.","['sa-i dau mui3 lui tarfa de ma - ta si la toata familia ta. kakatul dreq. muie sa-i dai lui ma-ta', 'papagal ce esti']","[(14, 110), (124, 139)]"
22158,becali ce nu intelegi tu este ca la anul o echipa din provi9ncia aia pe care toti bucurestenii o dispretuiti va juca in Liga campionilor si tu te vei uita ca un cioban prost sprijinit in bata. !!! Liga Campionilor interzisa oilor !!!!!,"['cioban prost sprijinit in bata', 'Liga Campionilor interzisa oilor']","[(161, 191), (197, 229)]"
20579,bai kkt bashit....schimba dreaq nik in:toata ungaria uraste romania....neam de curve....,"['kkt bashit', 'dreaq', 'neam de curve']","[(4, 14), (26, 31), (71, 84)]"
20478,ne bucuram de CL ca jucam cu echipe mari..fara sa ne umilim rugandu-le sa faca un amical cu noi...ex: werder -cfr...real dinamo...cu noi joaca echipele mari fara sa le pumam in pla juma de an inainte...MURITI RATATILOR,"['sa le pumam in pla', 'MURITI RATATILOR']","[(162, 180), (202, 218)]"
13863,bah bag poala in gura voastra de gazetari fotova mortzoii in gat ce dreeq stergeti mesajele care nu contin injuraturi?,"['bag poala in gura voastra', 'fotova mortzoii in gat', 'ce dreeq']","[(4, 29), (42, 64), (65, 73)]"
25322,"Ultima echipa din liga sunteti. Va fi greu sa marcati, apoi sa mai si faceti ""10-11 puncte"" cum zicea bozgoru' .","["" bozgoru'""]","[(101, 110)]"
12913,frustati ah? si voi stelisti ce sunteti? niste pomanagii si niste handicapati fara demnitate asta sunteti..sugemeatiiiiii pl :)) de laberi,"['frustati', 'pomanagii si niste handicapati fara demnitate', 'sugemeatiiiiii pl :)) de laberi']","[(0, 8), (47, 92), (107, 138)]"
9497,"@alin
 
 Te vad ca te chinui pe-aici sa scrii prostii. Vad in tine un stelist vopsit, pentru ca ai adus vorba de steaua. Uite ce e: tu nu mai intra pe-aici si eu iti promit sa nu asmut cainii rosii pe tine. Du-te-n...Doamne iarta-ma!! Numai prostii sunt perseverenti.","['stelist vopsit', 'tu nu mai intra pe-aici si eu iti promit sa nu asmut cainii rosii pe tine', 'Du-te-n...Doamne iarta-ma']","[(72, 86), (134, 207), (209, 234)]"
24143,masa lui vyo_pancu este o tarfa drogata ci nu mutu,['tarfa drogata'],"[(26, 39)]"
